year,city_name,id_city,city_population,cpi,rev_total,rev_general,intergovt_rev,igr_federal,igr_state,own_source_rev,taxes,tax_property,tax_sales_grossrec,tax_sales_general,tax_sales_selectiv,tax_sales_motofuel,tax_sales_alcohol,tax_sales_tobacco,tax_sales_utility,tax_sales_other,tax_income_indiv,tax_income_corp,tax_motor_vehicle,tax_other,charges_misc_rev,charges,chg_educ,chg_higher_ed,chg_school_lunch,chg_hospitals,chg_highways,chg_air_transit,chg_parking,chg_seaport,chg_nat_resources,chg_parks_rec,chg_hous_commdev,chg_sewers,chg_waste_mgmt,chg_other,misc_general_rev,misc_interest,misc_fines_fees,misc_spec_assess,misc_property_sale,misc_other,rev_utility,rev_utility_water,rev_utility_elec,rev_utility_gas,rev_utility_transit,rev_liquor_store,rev_empl_retire_tr,spending_direct,spending_general,education_services,education,educ_higher,educ_elem_sec,libraries,social_services,public_welfare,welfare_cash,welfare_vendors,welfare_other,hospitals,health,transportation,highways,air_transit,parking,seaport,public_safety,police,fire,correction,inspection,envir_housing,natural_resources,parks_recreation,housing_commdevt,sewerage,waste_mgmt,administration,admin_financial,admin_judicial,public_buildings,admin_other,interest_general,misc,commercial_activ,other_gen_spending,spending_utility,utility_water,utility_elec,utility_gas,utility_transit,spend_liquor_store,sp_empl_retire_tr,spending_total,spend_intergovt,spend_current_ops,spend_capital,capital_construct,capital_other_dir,spend_assistance,spend_debtinterest,spend_insurance,salaries_wages,capital_general,capital_education,capital_higher_ed,capital_elem_ed,capital_hospitals,capital_highways,capital_correction,capital_nat_res,capital_parks_rec,capital_sewers,capital_waste_mgmt,capital_other_gen,capital_utility,debt_outstanding,debt_short_term,debt_long_term,debt_private_purp,debt_issued,debt_retired,cash_holdings,cash_empl_retire,cash_other,cash_other_offsets,cash_other_bonds,cash_other_other,county_name,id_county,county_population,relationship_city_school,enrollment,districts_in_city,consolidated_govt,state
2002,Anchorage,22002001.0,264274,1.334113,4812.12,4334.03,2001.34,146.77,1854.57,2332.69,1624.65,1453.46,99.6,0.0,99.6,0.0,0.0,24.04,0.0,75.56,0.0,0.0,25.28,46.31,708.04,404.28,56.45,0.0,26.91,0.0,0.32,4.85,21.34,43.92,0.0,8.71,0.0,122.97,101.27,44.44,303.76,136.98,0.0,12.02,0.14,154.61,576.98,146.19,419.43,0.0,11.36,0.0,-98.89,5921.44,5262.14,2404.16,2375.45,0.0,2375.45,28.71,161.97,0.0,0.0,0.0,0.0,0.0,161.97,1022.92,986.42,3.86,15.2,17.44,924.15,693.64,201.08,0.0,29.44,420.23,0.0,279.39,0.0,74.5,66.33,132.02,35.41,4.41,4.29,87.91,165.51,31.19,0.0,31.19,569.61,106.51,315.02,0.0,148.07,0.0,89.69,5921.44,0.0,3599.39,1950.59,1898.88,51.71,0.0,281.77,89.69,3124.27,1869.33,424.69,0.0,424.69,0.0,830.59,0.0,0.0,188.51,0.0,0.0,425.54,81.26,6920.58,0.0,6920.58,232.53,1189.36,601.34,4753.96,1883.04,2870.92,449.89,87.76,2333.27,,,,4.0,50653.0,,1.0,AK
2003,Anchorage,22002001.0,268229,1.304386,4370.19,3955.39,1711.47,151.69,1559.79,2243.91,1634.87,1453.86,79.54,0.0,79.54,0.0,0.0,26.01,0.0,53.53,0.0,0.0,49.23,52.24,609.04,454.72,56.25,0.0,26.17,0.0,0.39,4.9,20.5,42.05,0.0,13.95,0.0,123.37,111.6,81.7,154.33,71.72,0.0,6.39,0.0,76.21,556.59,147.67,398.03,0.0,10.89,0.0,-141.78,4850.91,4257.48,2536.55,2508.18,0.0,2508.18,28.38,173.26,0.0,0.0,0.0,0.0,0.0,173.26,281.4,246.77,4.1,13.08,17.45,560.13,313.64,217.51,0.0,28.99,270.07,0.0,118.83,0.0,74.8,76.45,141.08,44.53,4.87,4.64,87.04,190.38,104.6,0.0,104.6,497.54,110.17,301.39,0.0,85.99,0.0,95.89,4850.91,0.0,3653.13,807.62,754.79,52.83,0.0,294.28,95.89,3110.4,794.26,584.52,0.0,584.52,0.0,106.95,0.0,0.0,23.94,0.0,0.0,78.85,13.35,6990.91,0.0,6990.91,197.25,1694.09,1369.79,4852.21,1566.59,3285.62,384.21,115.84,2785.57,,,,4.0,50799.0,,1.0,AK
2004,Anchorage,22002001.0,270568,1.270551,4902.94,3989.36,1641.97,162.81,1479.17,2347.39,1665.79,1495.76,70.54,0.0,70.54,0.0,0.0,22.23,0.0,48.31,0.0,0.0,45.16,54.33,681.6,439.29,57.4,0.0,26.06,0.0,0.39,4.34,20.41,42.23,0.0,15.85,0.0,118.28,98.83,81.57,242.31,165.8,0.0,6.09,13.74,56.68,576.3,142.45,423.07,0.0,10.77,0.0,337.28,5275.23,4533.56,2573.01,2545.53,0.0,2545.53,27.48,140.13,0.0,0.0,0.0,0.0,0.0,140.13,379.52,315.29,13.74,17.06,33.44,565.95,318.58,215.8,0.0,31.57,346.72,0.0,133.89,0.0,126.24,86.59,136.95,43.41,4.83,5.05,83.65,304.01,87.25,0.0,87.25,642.92,162.18,397.6,0.0,83.13,0.0,98.75,5275.23,0.0,3668.11,1106.3,892.14,214.16,0.0,402.06,98.75,2139.56,963.91,595.28,0.0,595.28,0.0,168.52,0.0,0.0,41.02,51.61,17.8,89.68,142.39,6442.17,0.0,6442.17,164.64,164.36,472.89,4757.37,1743.81,3013.56,593.53,200.37,2219.66,,,,4.0,50625.0,,1.0,AK
2005,Anchorage,22002001.0,274484,1.228914,4841.71,4000.14,1583.79,139.66,1444.13,2416.35,1727.93,1535.1,90.94,0.0,90.94,0.0,0.0,38.65,0.0,52.29,0.0,0.0,45.36,56.52,688.42,446.47,54.19,0.0,23.72,0.0,0.43,4.7,22.17,45.4,0.0,17.73,0.0,119.05,97.2,85.61,241.95,108.37,31.15,7.39,9.62,85.43,642.77,149.39,481.36,0.0,12.02,0.0,198.81,5083.96,4301.49,2581.72,2554.96,0.0,2554.96,26.76,106.4,0.0,0.0,0.0,0.0,0.0,106.4,358.98,291.84,12.17,15.08,39.89,583.81,328.65,227.9,0.0,27.26,373.45,0.0,111.97,0.0,145.08,116.39,123.2,40.69,4.2,4.36,73.95,112.65,61.27,0.0,61.27,682.86,178.04,405.13,0.0,99.68,0.0,99.62,5083.96,0.0,3692.09,1088.21,839.28,248.94,0.0,204.04,99.62,2026.32,954.69,565.32,0.0,565.32,0.0,167.26,0.0,0.0,22.15,63.99,48.29,87.69,133.52,6745.78,0.0,6745.78,132.35,1117.69,514.07,5236.1,1691.81,3544.28,453.91,718.31,2372.06,,,,4.0,50732.0,,1.0,AK
2006,Anchorage,22002001.0,276494,1.190511,5090.18,4283.92,1662.54,132.55,1529.99,2621.38,1837.97,1627.13,111.92,0.0,111.92,0.0,0.0,60.54,0.0,51.38,0.0,0.0,42.89,56.03,783.41,503.83,51.66,0.0,22.61,0.0,0.79,4.43,22.98,43.4,0.0,26.95,0.0,123.78,94.43,135.42,279.58,110.87,39.17,7.39,3.75,118.39,691.43,165.54,503.83,0.0,22.06,0.0,114.82,5287.05,4406.49,2577.8,2548.25,0.0,2548.25,29.55,112.77,0.0,0.0,0.0,0.0,0.0,112.77,425.25,346.25,17.41,18.31,43.28,608.01,331.45,247.33,0.0,29.23,340.98,0.0,118.51,0.0,136.05,86.42,126.27,42.85,4.32,4.68,74.42,106.43,108.99,0.0,108.99,777.38,193.9,479.0,0.0,104.49,0.0,103.17,5287.05,0.0,3909.68,1082.32,820.21,262.1,0.0,191.88,103.17,2050.08,889.97,477.9,0.0,477.9,0.0,207.67,0.0,0.0,18.66,47.86,16.99,120.88,192.35,7157.66,0.0,7157.66,103.6,2567.48,1897.29,5108.98,1613.42,3495.56,369.02,582.04,2544.5,,,,4.0,50473.0,,1.0,AK
2007,Anchorage,22002001.0,280085,1.157542,5589.12,4724.17,1929.88,135.11,1794.77,2794.29,1938.91,1688.32,151.96,0.0,151.96,0.0,0.0,73.06,0.0,78.91,0.0,0.0,41.42,57.2,855.39,469.97,50.66,0.0,20.57,0.0,0.5,4.3,16.2,43.77,0.0,18.78,0.0,127.9,89.93,117.93,385.42,226.41,23.47,5.32,17.54,112.67,649.61,160.41,475.12,0.0,14.07,0.0,215.34,5476.18,4501.1,2366.06,2338.74,0.0,2338.74,27.32,100.68,0.0,0.0,0.0,0.0,0.0,100.68,476.91,397.82,14.71,26.47,37.91,639.65,349.91,258.76,0.0,30.98,531.74,0.0,272.64,0.0,143.07,116.02,152.2,46.16,5.36,5.14,95.54,129.35,104.51,0.0,104.51,871.54,236.74,528.86,0.0,105.94,0.0,103.54,5476.18,0.0,3955.63,1209.04,849.04,360.0,0.0,207.97,103.54,2034.22,847.35,206.08,0.0,206.08,0.0,248.56,0.0,0.0,182.48,52.07,44.72,113.44,361.69,6860.6,0.0,6860.6,76.71,527.61,537.22,4755.68,1624.92,3130.76,296.61,732.4,2101.75,,,,4.0,50490.0,,1.0,AK
2008,Anchorage,22002001.0,278792,1.114741,5259.75,4623.21,1915.33,129.87,1785.46,2707.88,1827.85,1590.55,147.02,0.0,147.02,0.0,0.0,66.21,0.0,80.81,0.0,0.0,41.15,49.13,880.03,513.09,49.17,0.0,20.42,0.0,0.0,4.73,43.58,39.96,0.0,25.2,0.0,138.18,90.69,121.58,366.94,209.5,40.16,5.0,4.28,108.0,579.19,170.44,393.89,0.0,14.86,0.0,57.35,6014.8,5149.16,2727.92,2693.85,0.0,2693.85,34.07,100.13,0.0,0.0,0.0,0.0,0.0,100.13,550.46,388.38,24.23,46.71,91.13,707.72,403.4,274.62,0.0,29.71,583.98,0.0,313.77,0.0,175.98,94.23,152.79,45.25,5.11,4.75,97.68,133.26,192.89,0.0,192.89,758.61,228.71,416.2,0.0,113.7,0.0,107.03,6014.8,0.0,4388.39,1306.92,1240.97,65.95,0.0,212.46,107.03,2037.44,997.67,247.35,0.0,247.35,0.0,238.5,0.0,0.0,159.15,78.91,9.43,264.33,309.25,7124.17,0.0,7124.17,52.22,2156.91,1670.3,5110.49,1855.3,3255.19,657.37,514.62,2083.19,,,,4.0,49621.0,,1.0,AK
2009,Anchorage,22002001.0,281554,1.118721,4955.21,4767.06,2143.53,130.03,2013.49,2623.53,1977.19,1737.52,154.29,0.0,154.29,0.0,0.0,66.19,0.0,88.11,0.0,0.0,41.86,43.51,646.34,492.67,47.98,0.0,19.9,0.0,0.0,4.95,27.69,39.45,0.0,24.19,0.0,137.4,103.92,107.08,153.67,47.59,35.75,0.88,4.58,64.89,613.01,171.08,425.98,0.0,15.95,0.0,-424.86,6531.27,5631.55,2831.12,2793.07,0.0,2793.07,38.06,103.12,0.0,0.0,0.0,0.0,0.0,103.12,974.77,562.11,16.86,31.44,364.35,752.96,418.62,298.75,0.0,35.59,519.12,0.0,271.52,0.0,164.88,82.73,154.18,48.11,5.45,5.69,94.93,134.86,161.4,0.0,161.4,790.91,249.96,387.82,0.0,153.12,0.0,108.82,6531.27,0.0,4544.52,1661.38,1603.76,57.62,0.0,216.55,108.82,2147.77,1348.2,270.61,0.0,270.61,0.0,386.64,0.0,0.0,127.58,79.87,12.15,471.34,313.17,7172.97,0.0,7172.97,30.04,495.0,401.5,3977.18,1106.46,2870.72,265.72,467.81,2137.19,,,,4.0,49470.0,,1.0,AK
2010,Anchorage,22002001.0,287677,1.100667,5910.77,5058.81,2339.51,138.25,2201.26,2719.3,1985.24,1776.17,131.73,0.0,131.73,0.0,0.0,63.44,0.0,68.28,0.0,0.0,34.73,42.61,734.05,476.97,46.07,0.0,17.55,0.0,0.0,4.69,29.04,37.06,0.0,23.24,0.0,137.73,105.3,93.83,257.08,175.87,32.04,4.13,4.5,40.54,651.54,180.73,453.85,0.0,16.97,0.0,200.42,6163.52,5225.26,2820.23,2786.92,0.0,2786.92,33.31,101.73,0.0,0.0,0.0,0.0,0.0,101.73,524.34,442.33,22.76,23.17,36.07,745.54,424.9,287.28,0.0,33.36,533.0,0.0,173.62,0.0,267.79,91.58,187.71,63.89,28.79,5.42,89.61,127.19,185.53,0.0,185.53,831.48,271.3,444.86,0.0,115.32,0.0,106.78,6163.52,0.0,4537.76,1316.49,1272.61,43.88,0.0,202.49,106.78,2157.25,987.53,232.4,0.0,232.4,0.0,302.85,0.0,0.0,37.06,183.59,16.02,215.61,328.96,7277.9,153.04,7124.86,7.89,808.37,590.52,4125.45,1033.42,3092.03,365.15,405.11,2321.77,,,,4.0,49890.0,,1.0,AK
2011,Anchorage,22002001.0,293370,1.066987,5693.06,4875.8,2271.56,180.32,2091.24,2604.24,1956.24,1751.93,134.35,0.0,134.35,0.0,0.0,63.05,0.0,71.3,0.0,0.0,34.6,35.38,647.99,446.04,41.56,0.0,14.48,0.0,0.0,4.42,28.35,36.32,0.0,21.69,0.0,136.27,100.81,76.62,201.95,124.25,28.23,5.67,0.91,42.88,663.77,178.37,471.22,0.0,14.18,0.0,153.49,5821.77,4831.17,2728.45,2697.32,0.0,2697.32,31.13,91.45,0.0,0.0,0.0,0.0,0.0,91.45,490.44,381.7,28.5,28.99,51.26,737.54,402.01,304.31,0.0,31.22,380.34,0.0,138.82,0.0,148.14,93.38,170.06,59.69,33.88,5.0,71.5,116.03,116.86,0.0,116.86,886.74,207.59,543.16,0.0,135.98,0.0,103.86,5821.77,0.0,4568.67,943.59,911.09,32.5,0.0,205.65,103.86,2122.36,588.6,111.69,0.0,111.69,0.0,238.38,0.0,0.0,15.69,64.99,26.79,131.06,354.99,6847.38,145.48,6701.9,0.0,362.18,445.59,4178.34,1049.86,3128.48,238.41,436.24,2453.83,,,,4.0,49572.0,,1.0,AK
2012,Anchorage,22002001.0,296291,1.045354,5263.53,4575.31,2018.55,175.34,1843.21,2556.76,1928.61,1709.89,143.77,0.0,143.77,0.0,0.0,69.56,0.0,74.21,0.0,0.0,34.85,40.1,628.15,483.78,39.41,0.0,11.97,0.0,0.0,4.69,29.3,36.59,0.0,8.7,0.0,149.39,96.6,119.1,144.36,49.27,29.88,4.98,0.74,59.49,670.2,180.54,474.24,0.0,15.41,0.0,18.03,5424.93,4355.59,2378.01,2346.9,0.0,2346.9,31.11,94.64,0.0,0.0,0.0,0.0,0.0,94.64,330.12,261.37,15.64,19.53,33.58,789.9,437.23,320.22,0.0,32.45,296.71,0.0,74.18,0.0,141.91,80.62,200.0,79.9,28.21,14.61,77.28,124.45,141.77,0.0,141.77,972.49,196.82,651.45,0.0,124.23,0.0,96.84,5424.93,0.0,4267.09,853.4,844.73,8.67,0.0,207.6,96.84,2106.04,439.62,65.25,0.0,65.25,0.0,154.44,0.0,0.0,16.83,58.87,8.85,135.38,413.78,6311.83,141.13,6170.7,0.0,218.74,543.33,3818.25,1123.77,2694.48,237.52,153.85,2303.1,,,,4.0,48959.0,,1.0,AK
2013,Anchorage,22002001.0,298520,1.030263,5578.41,4828.61,2092.03,163.2,1928.83,2736.58,1940.22,1693.11,156.11,0.0,156.11,0.0,0.0,76.69,0.0,79.43,0.0,0.0,55.19,35.8,796.36,667.39,34.6,0.0,9.63,0.0,50.38,4.82,0.0,35.25,0.0,0.0,17.38,163.25,102.63,259.08,128.97,69.66,21.51,14.34,0.0,23.46,619.57,189.82,412.01,0.0,17.74,0.0,130.23,5610.23,4658.23,2417.92,2386.58,0.0,2386.58,31.34,126.02,0.0,0.0,0.0,0.0,0.0,126.02,442.81,395.72,15.93,0.0,31.16,772.32,444.13,328.18,0.0,0.0,268.13,0.0,25.44,0.0,155.82,86.87,100.91,0.0,25.99,0.0,74.93,109.49,420.64,0.0,420.64,848.07,173.69,553.43,0.0,120.95,0.0,103.92,5610.23,0.0,4440.98,878.7,570.92,307.78,0.0,186.62,103.92,2030.42,530.68,111.15,0.0,111.15,0.0,176.79,0.0,0.0,25.44,72.85,15.97,128.49,348.03,5766.11,310.61,5455.5,2.64,418.46,740.67,3377.32,1117.5,2259.82,2.64,0.0,2257.18,,,,4.0,49893.0,,1.0,AK
2014,Anchorage,22002001.0,301081,1.013817,5787.74,4999.43,2200.44,158.16,2042.28,2798.99,1914.26,1660.56,155.36,0.0,155.36,0.0,0.0,76.74,0.0,78.62,0.0,0.0,56.07,42.27,884.72,676.06,34.87,0.0,8.51,0.0,44.24,4.72,0.0,33.9,0.0,8.79,15.15,167.09,105.3,262.0,208.67,84.86,22.0,11.58,21.71,68.52,609.84,198.38,393.86,0.0,17.6,0.0,178.47,5436.74,4598.76,2407.52,2380.27,0.0,2380.27,27.25,79.95,0.0,0.0,0.0,0.0,0.0,79.95,462.92,391.8,16.0,0.0,55.12,823.73,458.84,364.89,0.0,0.0,300.25,0.0,54.17,4.15,145.28,96.65,135.99,29.25,26.08,0.0,80.66,105.44,282.96,0.0,282.96,738.26,144.44,465.02,0.0,128.8,0.0,99.72,5436.74,0.0,4283.0,875.53,860.38,15.15,0.0,178.48,99.72,1230.72,605.45,167.6,0.0,167.6,0.0,171.56,0.0,0.0,24.97,63.66,26.07,151.58,270.09,4448.78,370.73,4078.05,2.16,263.32,244.25,3046.58,1178.01,1868.57,83.02,128.0,1657.55,,,,4.0,49282.0,,1.0,AK
2015,Anchorage,22002001.0,300296,1.012615,6042.48,5281.32,2414.77,149.3,2265.47,2866.55,1937.62,1677.1,158.33,0.0,158.33,0.0,0.0,74.02,0.0,84.31,0.0,0.0,58.56,43.64,928.92,738.24,34.8,0.0,7.67,0.0,50.7,4.89,0.0,35.62,0.0,9.21,32.33,173.41,113.68,283.6,190.69,86.28,23.5,14.28,17.84,48.78,693.55,204.09,471.78,0.0,17.68,0.0,67.62,6216.61,5144.3,2669.75,2643.1,0.0,2643.1,26.65,86.5,0.0,0.0,0.0,0.0,0.0,86.5,533.58,473.56,13.55,0.0,46.47,849.14,472.22,376.92,0.0,0.0,404.95,0.0,124.35,33.63,131.81,115.16,177.8,65.49,27.17,0.0,85.14,117.65,304.94,0.0,304.94,965.42,174.17,703.01,0.0,88.24,0.0,106.89,6216.61,0.0,4653.3,1263.05,1185.15,77.89,0.0,193.37,106.89,1203.54,793.62,283.27,0.0,283.27,0.0,221.87,0.0,0.0,30.45,46.05,45.0,166.97,469.43,4944.17,83.29,4860.88,1.72,769.91,861.18,3688.34,1012.64,2675.71,81.59,0.0,2594.12,,,,4.0,48368.0,,1.0,AK
2016,Anchorage,22002001.0,298018,1.0,5896.49,5097.64,2432.37,149.12,2283.25,2665.27,1973.95,1710.38,168.4,0.0,168.4,0.0,0.0,80.87,0.0,87.52,0.0,0.0,58.26,36.91,691.32,615.27,34.11,0.0,7.26,0.0,43.8,5.06,0.0,41.18,0.0,8.83,30.03,172.38,112.74,167.14,76.05,11.66,22.18,6.57,0.94,34.7,772.53,205.65,550.76,0.0,16.12,0.0,26.32,5804.14,4756.98,2408.92,2381.48,0.0,2381.48,27.44,82.78,0.0,0.0,0.0,0.0,0.0,82.78,491.71,426.57,21.02,0.0,44.11,879.26,470.05,375.13,0.0,34.08,331.03,0.0,122.63,38.11,98.41,71.89,202.35,71.51,26.51,0.0,104.33,114.11,246.83,0.0,246.83,937.2,206.88,621.41,0.0,108.91,0.0,109.95,5804.14,0.0,4352.2,1143.29,1103.61,39.68,0.0,198.7,109.95,2429.58,731.04,304.04,0.0,304.04,0.0,224.04,0.0,0.0,33.27,0.0,0.0,169.69,412.25,5089.4,383.53,4705.87,1.26,1087.29,1008.74,2912.51,925.45,1987.05,70.63,116.36,1800.07,,,,4.0,47585.0,,1.0,AK
2002,Fairbanks,22006001.0,30464,1.334113,4285.84,4266.96,2213.81,545.76,1668.05,2053.16,1582.75,1359.08,184.02,0.0,184.02,0.0,42.79,37.18,0.0,104.05,0.0,0.0,0.0,39.66,470.4,278.86,58.45,0.0,28.08,0.0,0.0,0.0,0.0,0.0,0.0,11.61,9.2,0.0,76.53,123.07,191.55,91.7,0.0,0.48,19.33,80.03,18.88,0.0,0.0,0.0,18.88,0.0,0.0,4625.84,4593.72,2190.97,2138.49,0.0,2138.49,52.47,17.83,0.0,0.0,0.0,0.0,0.0,17.83,214.62,214.62,0.0,0.0,0.0,769.55,540.1,208.12,0.0,21.33,254.49,0.0,71.63,86.44,0.0,96.41,244.11,136.72,22.37,1.62,83.41,137.13,765.02,0.0,765.02,32.12,0.53,0.0,0.0,31.59,0.0,0.0,4625.84,0.0,3742.56,746.15,610.27,135.88,0.0,137.13,0.0,2122.05,746.15,9.09,0.0,9.09,0.0,0.08,0.0,0.0,0.68,0.0,8.38,727.92,0.0,2377.97,0.0,2377.97,0.0,336.45,224.76,2195.9,0.0,2195.9,0.36,519.3,1676.24,Fairbanks North Star,21006002.0,84814.0,5.0,3749.0,,0.0,AK
2003,Fairbanks,22006001.0,30529,1.304386,4298.75,4280.84,2040.26,424.41,1615.85,2240.58,1599.93,1385.47,170.21,0.0,170.21,0.0,45.72,35.23,0.0,89.26,0.0,0.0,0.0,44.26,640.65,280.3,59.16,0.0,28.91,0.0,0.0,0.0,0.0,0.0,0.0,12.36,7.59,0.0,95.91,105.28,360.35,273.37,0.0,3.93,2.47,80.58,17.91,0.0,0.0,0.0,17.91,0.0,0.0,4401.76,4356.1,2173.13,2126.5,0.0,2126.5,46.63,16.13,0.0,0.0,0.0,0.0,0.0,16.13,292.19,292.19,0.0,0.0,0.0,645.26,396.54,224.73,0.0,23.99,305.13,0.0,97.75,67.48,0.0,139.91,230.74,109.25,21.24,2.44,97.81,113.55,579.96,0.0,579.96,45.66,0.0,0.0,0.0,45.66,0.0,0.0,4401.76,0.0,3745.45,542.76,429.41,113.35,0.0,113.55,0.0,2189.5,542.76,22.6,0.0,22.6,0.0,20.95,0.0,0.0,23.32,0.0,21.44,454.45,0.0,2036.46,0.0,2036.46,46.25,10.25,174.16,4149.97,0.0,4149.97,46.39,58.86,4044.72,Fairbanks North Star,21006002.0,86095.0,5.0,3684.0,,0.0,AK
2004,Fairbanks,22006001.0,30469,1.270551,4403.26,4385.77,1829.91,377.0,1452.9,2555.86,1658.42,1432.87,178.38,0.0,178.38,0.0,48.5,33.36,0.0,96.53,0.0,0.0,0.0,47.16,897.44,298.91,72.53,0.0,26.83,0.0,0.0,0.0,0.0,0.0,0.0,12.69,6.09,0.0,113.23,94.36,598.53,466.9,0.0,7.21,16.19,108.22,17.49,0.0,0.0,0.0,17.49,0.0,0.0,4122.32,4088.16,2185.45,2133.93,0.0,2133.93,51.52,14.68,0.0,0.0,0.0,0.0,0.0,14.68,308.81,308.81,0.0,0.0,0.0,525.09,259.75,238.82,0.0,26.52,328.54,0.0,80.21,49.9,0.0,198.44,191.94,86.38,21.27,3.21,81.09,126.96,406.69,0.0,406.69,34.16,0.0,0.0,0.0,34.16,0.0,0.0,4122.32,0.0,3704.4,290.96,99.7,191.26,0.0,126.96,0.0,2337.32,288.97,54.02,0.0,54.02,0.0,35.7,0.0,0.0,10.76,0.0,53.68,134.81,1.99,2532.59,0.0,2532.59,90.28,207.13,154.18,6050.32,0.0,6050.32,91.92,0.0,5958.4,Fairbanks North Star,21006002.0,86885.0,5.0,3599.0,,0.0,AK
2005,Fairbanks,22006001.0,30839,1.228914,4246.27,4228.62,1891.27,355.73,1535.54,2337.35,1707.58,1444.84,214.43,0.0,214.43,0.0,50.41,34.67,0.0,129.35,0.0,0.0,0.0,48.32,629.77,298.08,63.43,0.0,25.39,0.0,0.0,0.0,0.0,0.0,0.48,12.05,4.58,0.0,117.71,99.83,331.69,220.29,13.59,10.28,11.04,76.48,17.65,0.0,0.11,0.0,17.54,0.0,0.0,4031.84,3957.48,2191.02,2139.74,0.0,2139.74,51.29,50.43,0.0,0.0,0.0,0.0,0.0,50.43,290.86,290.86,0.0,0.0,0.0,489.01,236.82,227.24,0.0,24.95,251.14,0.0,108.98,32.72,0.0,109.45,163.87,68.88,18.42,1.16,75.41,100.05,421.1,0.0,421.1,74.36,0.32,0.48,0.0,73.56,0.0,0.0,4031.84,0.0,3788.16,143.63,69.98,73.64,0.0,100.05,0.0,1929.1,133.55,29.92,0.0,29.92,0.0,22.12,0.0,0.0,18.25,0.0,0.21,63.06,10.07,2356.64,0.0,2356.64,86.27,175.35,156.55,6194.7,0.0,6194.7,90.82,187.64,5916.24,Fairbanks North Star,21006002.0,89043.0,5.0,3538.0,,0.0,AK
2006,Fairbanks,22006001.0,30946,1.190511,4450.48,4433.72,2019.73,344.89,1674.84,2413.99,1785.94,1511.05,215.93,0.0,215.93,0.0,67.92,38.0,0.0,110.0,0.0,0.0,0.0,58.96,628.05,266.03,24.12,0.0,24.12,0.0,0.0,0.0,4.77,0.0,0.0,10.97,3.26,0.0,114.13,108.79,362.02,211.97,20.48,5.23,36.51,87.82,16.76,0.0,0.09,0.0,16.67,0.0,0.0,4710.37,4606.47,2194.92,2141.71,0.0,2141.71,53.21,40.13,0.0,0.0,0.0,0.0,0.0,40.13,452.35,452.35,0.0,0.0,0.0,667.22,293.88,349.22,0.0,24.12,257.53,0.0,80.0,17.49,0.0,160.03,182.38,83.38,17.49,0.0,81.51,110.84,701.11,0.0,701.11,103.9,1.49,0.24,0.0,102.17,0.0,0.0,4710.37,0.0,3845.04,754.5,403.47,351.03,0.0,110.84,0.0,1913.48,708.36,24.49,0.0,24.49,0.0,183.27,0.0,0.0,2.2,0.0,21.88,476.52,46.14,2398.2,0.0,2398.2,83.29,128.36,189.22,5827.14,0.0,5827.14,83.29,218.05,5525.8,Fairbanks North Star,21006002.0,90431.0,5.0,3479.0,,0.0,AK
2007,Fairbanks,22006001.0,30636,1.157542,5036.67,5031.63,2163.31,254.16,1909.15,2868.32,1854.2,1577.43,227.2,0.0,227.2,0.0,71.78,35.23,0.0,120.2,0.0,0.0,0.0,49.57,1014.12,294.98,23.82,0.0,23.82,0.0,0.0,0.0,6.23,0.0,0.0,10.67,2.08,0.0,130.8,121.37,719.14,502.87,37.77,3.63,54.9,119.96,5.04,0.0,0.09,0.0,4.95,0.0,0.0,4625.23,4474.32,2290.87,2232.79,0.0,2232.79,58.08,44.69,0.0,0.0,0.0,0.0,0.0,44.69,347.27,338.88,0.0,8.39,0.0,581.71,266.26,290.21,0.0,25.24,213.78,0.0,93.13,3.67,0.0,116.97,224.3,126.14,17.09,0.0,81.07,103.37,668.33,0.0,668.33,150.92,0.12,0.0,0.0,150.8,0.0,0.0,4625.23,0.0,4020.84,501.03,327.45,173.58,0.0,103.37,0.0,1905.84,406.8,9.1,0.0,9.1,0.0,99.56,0.0,0.0,11.79,0.0,3.64,282.71,94.23,2254.04,0.0,2254.04,55.54,157.31,188.58,6370.33,0.0,6370.33,55.54,289.84,6024.94,Fairbanks North Star,21006002.0,90545.0,5.0,3445.0,,0.0,AK
2008,Fairbanks,22006001.0,31184,1.114741,4904.73,4888.37,2222.18,297.93,1924.26,2666.18,1839.79,1561.14,223.21,0.0,223.21,0.0,71.46,34.06,0.0,117.69,0.0,0.0,0.0,55.44,826.39,347.74,53.31,0.0,23.99,0.0,0.0,0.0,7.86,0.0,0.0,14.18,31.85,0.0,132.39,108.14,478.65,321.11,31.42,0.64,49.2,76.28,16.36,0.0,0.0,0.0,16.36,0.0,0.0,5007.32,4900.79,2489.61,2435.89,0.0,2435.89,53.72,44.69,0.0,0.0,0.0,0.0,0.0,44.69,356.36,348.24,0.0,8.11,0.0,512.67,261.67,229.3,0.0,21.7,443.91,0.0,112.04,161.96,0.0,169.91,280.03,125.88,11.37,0.0,142.78,100.31,673.22,0.0,673.22,106.53,0.0,0.0,0.0,106.53,0.0,0.0,5007.32,0.0,4458.73,448.28,355.8,92.48,0.0,100.31,0.0,1901.88,413.58,9.21,0.0,9.21,0.0,74.71,0.0,0.0,24.06,0.0,27.84,277.76,34.7,2197.64,0.0,2197.64,44.76,150.97,193.36,6365.43,0.0,6365.43,49.67,560.08,5755.68,Fairbanks North Star,21006002.0,93545.0,5.0,3412.0,,0.0,AK
